time,open,close,high,low,volume,Unnamed: 0
1.62862E+12,0.25155,0.25186,0.25186,0.25155,150.3427537,
1.62862E+12,0.25137,0.25184,0.25184,0.25125,252.8155675,
1.62862E+12,0.25192,0.25202,0.25207,0.2517,1350,
1.62862E+12,0.25171,0.25195,0.25209,0.25171,3938.532825,
1.62862E+12,0.25158,0.25282,0.25314,0.25158,165375.153,
1.62862E+12,0.25294,0.25318,0.25318,0.25257,7899.644043,
1.62862E+12,0.2533,0.25257,0.25352,0.25257,42490.19682,
1.62862E+12,0.2529,0.25206,0.2529,0.25206,5174.30951,
1.62862E+12,0.25243,0.25247,0.25247,0.25218,202.4037161,
1.62862E+12,0.25293,0.2529,0.25293,0.2529,100,
1.62862E+12,0.2529,0.25374,0.25376,0.25264,552.9877263,
1.62862E+12,0.25374,0.25363,0.25376,0.25344,1200,
1.62862E+12,0.25353,0.25353,0.25353,0.25353,100,
1.62862E+12,0.25367,0.25397,0.25397,0.25367,1050.413764,
1.62862E+12,0.25401,0.25297,0.25401,0.25297,652.1439966,
1.62862E+12,0.25288,0.2529,0.25336,0.25288,750,
1.62862E+12,0.25318,0.25288,0.25321,0.25288,104.9949658,
1.62862E+12,0.25285,0.25305,0.25312,0.25285,12484.53023,
1.62862E+12,0.25302,0.25302,0.25302,0.25302,100,
1.62862E+12,0.25298,0.2533,0.2533,0.25298,11646.067,
1.62862E+12,0.25276,0.25316,0.25318,0.25275,700.7229266,
1.62862E+12,0.25278,0.25282,0.25282,0.25278,1050,
1.62862E+12,0.25316,0.25316,0.25316,0.25316,1000,
1.62862E+12,0.25318,0.25316,0.25318,0.25316,300,
1.62862E+12,0.25327,0.25327,0.25327,0.25327,250,
1.62862E+12,0.25363,0.25391,0.25391,0.25363,0.87835447,
1.62862E+12,0.25391,0.25331,0.25406,0.25331,6113.67006,
1.62862E+12,0.25328,0.25302,0.25328,0.25302,300,
1.62862E+12,0.25294,0.25253,0.25294,0.25253,1800.43942,
1.62862E+12,0.25246,0.25295,0.25297,0.25246,301.398624,
1.62862E+12,0.25304,0.2529,0.25304,0.25282,550,
1.62863E+12,0.25265,0.25305,0.25305,0.25265,305.1594719,
1.62863E+12,0.25326,0.25345,0.25345,0.25326,250,
1.62863E+12,0.25311,0.25311,0.25328,0.25311,913.8260056,
1.62863E+12,0.25322,0.25286,0.25322,0.25286,300,
1.62863E+12,0.25314,0.253,0.25314,0.25283,1500.338327,
1.62863E+12,0.25263,0.25255,0.25263,0.25255,400,
1.62863E+12,0.25305,0.25305,0.25305,0.25305,0.17839864,
1.62863E+12,0.25309,0.25276,0.25309,0.25276,300,
1.62863E+12,0.25264,0.25264,0.25264,0.25264,0.1208985,
1.62863E+12,0.25274,0.25264,0.25274,0.25264,300,
1.62863E+12,0.25264,0.25302,0.25316,0.25264,150.0690602,
1.62863E+12,0.25284,0.25508,0.25508,0.25284,461435.0666,
1.62863E+12,0.25504,0.25504,0.25564,0.25493,426028.8897,
1.62863E+12,0.25572,0.25553,0.25592,0.25526,5277.177762,
1.62863E+12,0.25563,0.25604,0.25604,0.25549,62782.10472,
1.62863E+12,0.25594,0.25541,0.25649,0.25541,19918.15908,
1.62863E+12,0.25537,0.25468,0.25541,0.25433,16446.6636,
1.62863E+12,0.2545,0.25438,0.25466,0.25425,11046.82026,
1.62863E+12,0.25466,0.25466,0.25466,0.25466,4.58274352,
1.62863E+12,0.25429,0.25439,0.25519,0.25382,201704.9708,
1.62863E+12,0.25439,0.25445,0.25463,0.25399,14776.75644,
1.62863E+12,0.25443,0.25512,0.25516,0.25443,7574.266632,
1.62863E+12,0.25481,0.25681,0.25681,0.25481,15056.56352,
1.62863E+12,0.25674,0.25614,0.25681,0.25605,28576.57679,
1.62863E+12,0.25633,0.25558,0.25633,0.25558,19368.01578,
1.62863E+12,0.25582,0.25635,0.25695,0.25576,12247.10661,
1.62863E+12,0.25682,0.25623,0.25721,0.25623,127697.9073,
1.62863E+12,0.25637,0.25668,0.25668,0.2563,450,
1.62863E+12,0.25654,0.25636,0.2568,0.25636,16948.67686,
1.62863E+12,0.25623,0.25564,0.25623,0.25525,40705.77954,
1.62863E+12,0.25589,0.25532,0.25589,0.2551,650.8086383,
1.62863E+12,0.25556,0.25584,0.25597,0.25511,500850,
1.62863E+12,0.25511,0.25511,0.25511,0.25511,50,
1.62863E+12,0.25616,0.25644,0.25644,0.256,355.1334587,
1.62863E+12,0.25644,0.25653,0.25653,0.25644,50,
1.62863E+12,0.256,0.256,0.2562,0.256,1906,
1.62863E+12,0.25565,0.25588,0.25627,0.25563,450,
1.62863E+12,0.25585,0.25585,0.25639,0.25585,252.9959841,
1.62863E+12,0.25616,0.25518,0.25616,0.25518,700.0841634,
1.62863E+12,0.25579,0.25644,0.25644,0.25579,1550.869682,
1.62863E+12,0.25551,0.25551,0.25551,0.25551,0.33047466,
1.62863E+12,0.25644,0.25656,0.25656,0.25644,100,
1.62863E+12,0.25593,0.25631,0.25643,0.25593,200.0055886,
1.62863E+12,0.25672,0.25756,0.25756,0.25672,20755.22648,
1.62863E+12,0.25718,0.2578,0.25857,0.25718,220939.0247,
1.62863E+12,0.25767,0.25873,0.25874,0.25767,62077.24548,
1.62863E+12,0.2582,0.25845,0.25859,0.25796,1826.225725,
